lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
13,80.21,404,64,2336,36392,,1000,1,1,GSM,,,,,,
13,80.21,404,40,42131,180060182,,1000,1,1,LTE,,,42131,,,
13,80.2,404,40,31191,7817265,,1000,1,1,UMTS,,,,,,
13,80.2,404,41,1601,5533,,1000,1,1,GSM,,,,,,
13,80.2,404,40,31193,7817265,,1000,1,1,UMTS,,,,,,
13,80.2,404,40,31193,7817256,,1000,1,1,UMTS,,,,,,
13,80.2,404,40,31193,7817255,,1000,1,1,UMTS,,,,,,
13,80.2,404,64,50004,29501,,1000,1,1,GSM,,,,,,
13,80.2,404,64,50035,3233,,1000,1,1,GSM,,,,,,
13,80.2,404,64,50035,3231,,1000,1,1,GSM,,,,,,
13,80.2,404,64,50004,23561,,1000,1,1,GSM,,,,,,
13,80.2,404,64,50004,23562,,1000,1,1,GSM,,,,,,
13,80.2,404,64,50035,3232,,1000,1,1,GSM,,,,,,
13,80.2,404,84,54027,217682689,,1000,1,1,LTE,,,54027,,,
13,80.21,404,40,10023,5513,,1000,1,1,GSM,,,,,,
13,80.21,404,40,31191,7818715,,1000,1,1,UMTS,,,,,,
13,80.21,404,40,31191,7853315,,1000,1,1,UMTS,,,,,,
13,80.21,404,84,3058,3830595,,1000,1,1,UMTS,,,,,,
13,80.21,404,84,50028,29501,,1000,1,1,GSM,,,,,,
13,80.21,404,40,31193,7818715,,1000,1,1,UMTS,,,,,,
13,80.21,404,40,10023,33601,,1000,1,1,GSM,,,,,,
13,80.21,404,40,42131,190817330,,1000,1,1,LTE,,,42131,,,
13,80.2,404,64,3203,13357019,,1000,1,1,UMTS,,,,,,
13,80.2,404,40,41055,231273987,,1000,1,1,LTE,,,41055,,,
13,80.2,404,40,10023,34143,,1000,1,1,GSM,,,,,,
13,80.2,404,64,2336,36391,,1000,1,1,GSM,,,,,,
13,80.21,404,84,3055,3613677,,1000,1,1,UMTS,,,,,,
13,80.21,404,40,42131,190817300,,1000,1,1,LTE,,,42131,,,
13,80.21,404,40,5009,19172,,1000,1,1,GSM,,,,,,
13,80.21,404,40,42132,179450932,,1000,1,1,LTE,,,42132,,,
13,80.2,404,84,50035,3231,,1000,1,1,GSM,,,,,,
13,80.21,404,40,5111,33602,,1000,1,1,GSM,,,,,,
13,80.2,404,40,31191,7861235,,1000,1,1,UMTS,,,,,,
13,80.2,404,40,5009,33931,,1000,1,1,GSM,,,,,,
13,80.2,404,84,50028,29033,,1000,1,1,GSM,,,,,,
13,80.2,404,84,50028,23562,,1000,1,1,GSM,,,,,,
13,80.2,404,41,5001,55732406,,1000,1,1,UMTS,,,,,,
13,80.2,404,84,3058,3830125,,1000,1,1,UMTS,,,,,,
13,80.2,404,64,2336,36323,,1000,1,1,GSM,,,,,,
13,80.21,404,40,31191,7817255,,1000,1,1,UMTS,,,,,,
13,80.21,404,40,31193,7817257,,1000,1,1,UMTS,,,,,,
13,80.21,404,84,54027,217835266,,1000,1,1,LTE,,,54027,,,
13,80.21,404,84,3058,3810285,,1000,1,1,UMTS,,,,,,
13,80.21,404,84,50028,29502,,1000,1,1,GSM,,,,,,
13,80.21,404,40,31193,7853318,,1000,1,1,UMTS,,,,,,
13,80.21,404,40,31193,7817258,,1000,1,1,UMTS,,,,,,
13,80.2,404,40,5111,11551,,1000,1,1,GSM,,,,,,
13,80.2,404,40,5111,34143,,1000,1,1,GSM,,,,,,
13,80.2,404,84,50005,28651,,3728,1,1,GSM,,,,,,
13,80.2,404,84,3058,3824656,,1000,1,1,UMTS,,,,,,
